12-10 17:26:16: Training starting...
12-10 17:26:17: New best reward 12.0 (-100.0%) at episode 0, saving model...
12-10 17:26:17: New best reward 27.0 (+125.0%) at episode 1, saving model...
12-10 17:26:17: New best reward 46.0 (+70.4%) at episode 2, saving model...
12-10 17:26:17: New best reward 61.0 (+32.6%) at episode 30, saving model...
12-10 17:26:18: New best reward 67.0 (+9.8%) at episode 169, saving model...
12-10 17:26:18: New best reward 70.0 (+4.5%) at episode 170, saving model...
12-10 17:26:18: New best reward 73.0 (+4.3%) at episode 178, saving model...
12-10 17:26:18: New best reward 83.0 (+13.7%) at episode 180, saving model...
12-10 17:26:20: New best reward 88.0 (+6.0%) at episode 346, saving model...
12-10 17:26:21: New best reward 117.0 (+33.0%) at episode 451, saving model...
12-10 17:26:21: New best reward 146.0 (+24.8%) at episode 459, saving model...
12-10 17:26:23: New best reward 149.0 (+2.1%) at episode 624, saving model...
12-10 17:26:23: New best reward 153.0 (+2.7%) at episode 677, saving model...
12-10 17:26:24: New best reward 155.0 (+1.3%) at episode 760, saving model...
12-10 17:26:25: New best reward 163.0 (+5.2%) at episode 816, saving model...
12-10 17:26:26: New best reward 165.0 (+1.2%) at episode 910, saving model...
12-10 17:26:26: New best reward 215.0 (+30.3%) at episode 911, saving model...
12-10 17:26:28: New best reward 271.0 (+26.0%) at episode 994, saving model...
12-10 17:26:30: New best reward 301.0 (+11.1%) at episode 1133, saving model...
12-10 17:26:32: New best reward 317.0 (+5.3%) at episode 1231, saving model...
12-10 17:26:33: New best reward 345.0 (+8.8%) at episode 1256, saving model...
12-10 17:26:34: New best reward 350.0 (+1.4%) at episode 1297, saving model...
12-10 17:26:36: New best reward 430.0 (+22.9%) at episode 1370, saving model...
12-10 17:28:20: New best reward 459.0 (+6.7%) at episode 3634, saving model...
12-10 17:29:48: New best reward 480.0 (+4.6%) at episode 4848, saving model...
12-10 17:30:25: New best reward 489.0 (+1.9%) at episode 5282, saving model...
12-10 17:31:06: New best reward 517.0 (+5.7%) at episode 5728, saving model...
12-10 17:31:13: New best reward 640.0 (+23.8%) at episode 5796, saving model...
12-10 17:32:27: New best reward 658.0 (+2.8%) at episode 6497, saving model...
12-10 17:33:01: New best reward 737.0 (+12.0%) at episode 6767, saving model...
12-10 17:34:07: New best reward 823.0 (+11.7%) at episode 7223, saving model...
12-10 17:34:10: New best reward 835.0 (+1.5%) at episode 7242, saving model...
12-10 17:34:11: New best reward 906.0 (+8.5%) at episode 7248, saving model...
12-10 17:34:12: New best reward 1055.0 (+16.4%) at episode 7254, saving model...
12-10 17:34:35: New best reward 1411.0 (+33.7%) at episode 7398, saving model...
12-10 17:34:36: New best reward 1706.0 (+20.9%) at episode 7404, saving model...
12-10 17:34:49: New best reward 1884.0 (+10.4%) at episode 7488, saving model...
12-10 17:34:57: New best reward 1922.0 (+2.0%) at episode 7530, saving model...
12-10 17:35:16: New best reward 5606.0 (+191.7%) at episode 7623, saving model...
12-10 17:36:16: New best reward 42057.0 (+650.2%) at episode 7916, saving model...
12-10 17:36:47: New best reward 100000.0 (+137.8%) at episode 7917, saving model...
