12-10 14:49:35: Training starting...
12-10 14:49:36: New best reward -6.9 (-100.0%) at episode 0, saving model...
12-10 14:49:36: New best reward -6.3 (-8.7%) at episode 6, saving model...
12-10 14:49:37: New best reward -5.1 (-19.0%) at episode 9, saving model...
12-10 14:49:37: New best reward -2.1 (-58.8%) at episode 47, saving model...
12-10 14:49:39: New best reward -0.3 (-85.7%) at episode 241, saving model...
12-10 14:50:02: New best reward 1.5 (-600.0%) at episode 2599, saving model...
12-10 14:50:16: New best reward 3.9 (+160.0%) at episode 3833, saving model...
12-10 14:50:41: New best reward 4.1 (+5.1%) at episode 5942, saving model...
12-10 14:51:10: New best reward 5.0 (+22.0%) at episode 8232, saving model...
12-10 14:52:21: New best reward 6.3 (+26.0%) at episode 13200, saving model...
12-10 14:53:08: New best reward 6.4 (+1.6%) at episode 16110, saving model...
12-10 14:53:34: New best reward 6.8 (+6.2%) at episode 17637, saving model...
12-10 15:01:47: New best reward 8.4 (+23.5%) at episode 43016, saving model...
12-10 15:25:31: New best reward 12.9 (+53.6%) at episode 102659, saving model...
12-10 15:29:12: New best reward 23.5 (+82.2%) at episode 111002, saving model...
12-10 15:35:42: New best reward 26.9 (+14.5%) at episode 124011, saving model...
12-10 15:37:22: New best reward 32.6 (+21.2%) at episode 127150, saving model...
12-10 15:39:56: New best reward 34.6 (+6.1%) at episode 131667, saving model...
12-10 15:40:14: New best reward 34.7 (+0.3%) at episode 132164, saving model...
12-10 15:43:39: New best reward 36.9 (+6.3%) at episode 137964, saving model...
12-10 15:43:45: New best reward 37.3 (+1.1%) at episode 138129, saving model...
12-10 15:44:06: New best reward 41.0 (+9.9%) at episode 138677, saving model...
12-10 15:44:57: New best reward 45.9 (+12.0%) at episode 139967, saving model...
12-10 15:47:17: New best reward 54.9 (+19.6%) at episode 143515, saving model...
12-10 15:52:27: New best reward 57.5 (+4.7%) at episode 150894, saving model...
12-10 15:57:59: New best reward 68.9 (+19.8%) at episode 158433, saving model...
12-10 16:20:58: New best reward 73.9 (+7.3%) at episode 188020, saving model...
12-10 16:28:29: New best reward 78.4 (+6.1%) at episode 196935, saving model...
12-10 16:33:19: New best reward 80.7 (+2.9%) at episode 202389, saving model...
12-10 16:33:40: New best reward 83.7 (+3.7%) at episode 202777, saving model...
12-10 16:50:27: New best reward 88.7 (+6.0%) at episode 221631, saving model...
12-10 16:51:13: New best reward 94.8 (+6.9%) at episode 222344, saving model...
12-10 17:02:13: New best reward 96.9 (+2.2%) at episode 234270, saving model...
